SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,股票名称
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004012002,持续经营业务税后利润,-6685323000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004012999,除税后溢利,-6685323000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004025001,少数股东损益,787000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004025002,股东应占溢利,-6686110000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004027002,每股基本盈利,-1.09,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004027003,每股摊薄盈利,-1.09,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004030997,其他全面收益其他项目,555961000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004030999,其他全面收益,555961000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004039999,全面收益总额,-6129362000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004040001,非控股权益应占全面收益总额,787000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,-6130149000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004099999,非运算项目,-157068299000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004001001,营业额,179127997000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004001999,营运收入,179127997000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004005002,销售成本,136653869000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004007999,毛利,42474128000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010002,其他收益,-185734000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010003,销售及分销费用,40683166000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010004,行政开支,8612626000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010005,减值及拨备,259953000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010006,重估盈余,815747000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010010,研发费用,16675595000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010999,经营溢利,-23127199000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004011200,利息收入,546037000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004011201,融资成本,1130935000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004011997,溢利其他项目,145620000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004011999,除税前溢利,-23566477000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004012001,税项,-30279000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004012002,持续经营业务税后利润,-23536198000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004012999,除税后溢利,-23536198000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004025001,少数股东损益,2181000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004025002,股东应占溢利,-23538379000.0,美团-W
03690.HK,03690,美团-W,10945642,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004027002,每股基本盈利,-3.9,美团-W
